results/AGENT-COORDINATION-ARCHIVE-20260708.md,4709,20260707,architecture,mbi native microbatches=2 in-model integration remote isolated gate,s128;nano;deep;small,PROMOTED,native ratio s128 0.694 / nano 0.745 / deep 0.727 / small 0.879; grad_rel<=0.0087,one merged df launch; host-side grad sum
results/AGENT-COORDINATION-ARCHIVE-20260708.md,4752,20260707,architecture,mbi in-kernel OP_AXPY_F32 grad-sum tail shape-gated default,s128;nano;deep;small,PROMOTED,s128 976.11us vs 1008.94 GO; nano GO; deep 3277.90 vs 3351.71 GO; small 6018.11 vs 5626.72 NO-GO,on for H256 s128/nano/deep; off exact small
results/AGENT-COORDINATION-ARCHIVE-20260708.md,4788,20260707,qwen,qwen4b-l1 post-ST-S3 score/profile refresh,qwen4b-l1,MEASUREMENT,mk 7474.85us vs graph+ 7186.72 ratio 1.0401x (was 1.1136x; mk -458.11us); lm-head fwd 2452.8->1869.5,supersedes older ST-S3 qwen no-go proof
results/AGENT-COORDINATION-ARCHIVE-20260708.md,4805,20260707,architecture,mbi.py wrapper + test_mbi + _access_sets fused-CE fix landed (96efec5),nano;deep;small;s128,PROMOTED,route-identity byte-identical; per-seq beats graph+ at s128/deep; small 1.68x->1.36x,worktree branch itax-3f21e1e
results/AGENT-COORDINATION-ARCHIVE-20260708.md,4830,20260707,architecture,mbi n-sweep n=2/3/4,s128;nano;deep;small,MEASUREMENT,s128 1.47/1.75/1.89x; nano 1.37/1.49/1.52x; deep 1.42/1.47/1.49x; small 1.17/1.14/1.11x,benefit tracks itax starvation ordering; host grad-sum caps curve
results/AGENT-COORDINATION-ARCHIVE-20260708.md,4851,20260707,architecture,mbi in-kernel AXPY grad-sum tail (381365f),deep;nano,PROMOTED,deep n=2 -82.4us; nano wash +/-6us; deep n=3 REFUTED +248.5us,default in-kernel only at n=2; cold-sink capacity is a budget
results/AGENT-COORDINATION-ARCHIVE-20260708.md,4884,20260707,qwen,qwen L2 ST-S3 force screen (MK_GEMM_N256_NT_SUPERTILE),qwen4b-l2,VALIDATED-PARKED,a_first -504.27us 16/16; b_first -301.66us 16/16; parity clean,promote-candidate; consider exact l2 default after port
results/AGENT-COORDINATION-ARCHIVE-20260708.md,4933,20260708,architecture,wgmma descriptor serialization probe (27-kernel sweep),standalone,REFUTED,descriptor idiom non-factor; __noinline__ ABI boundary (ptxas C7510) serializes; 196/196 HGMMA serialized in-model; 1.60x @64x64 / 1.15x @n128 / ~1.0 @n256,flat probes overestimate; follow-up = forceinline bodies
results/AGENT-COORDINATION-ARCHIVE-20260708.md,4969,20260707,ce,_access_sets fused-CE lse-partials fix shared port,multi,PROMOTED,route-identical: nano 152/77/66; deep 436/213/186; small 264/145/126; s8192 183/80/62; qwen4b-l2 78/44/14,committed on shared megakernel branch
results/AGENT-COORDINATION-ARCHIVE-20260708.md,5001,20260707,architecture,mbi n-sweep completion cells,s256;s1024,MEASUREMENT,s256 1.49/1.65/1.71x n=2/3/4; s1024 1.31/1.36/1.43x,
results/AGENT-COORDINATION-ARCHIVE-20260708.md,5012,20260707,architecture,mbi pdf opt-in (16c7d39) + tmap hazard fix,s2048,PROMOTED,s2048 pdf n=2 1.27x (per-seq 1394.8us vs 1766.4),tmap raw-pointer descriptors bypass buffer remap; keep replica weights alive on tmap routes
results/AGENT-COORDINATION-ARCHIVE-20260708.md,5038,20260708,architecture,mbi s3072+s4096 pdf cells (interleave map complete),s3072;s4096,MEASUREMENT,s3072 n=2 1.18x; s4096 1.13x; n=2 map s128 1.47 .. s4096 1.13 monotone,starvation law holds end to end
results/AGENT-COORDINATION-ARCHIVE-20260708.md,5080,20260707,qwen,qwen ST-S3 current-head port gates @38e03b9,qwen4b-l1;qwen4b-l2,VALIDATED-PARKED,route l1 47/26 ntst=1; l2 78/44 ntst=1; forced test_ops + default test_model pass; LOCAL:0,port validated; pending score/profile
results/AGENT-COORDINATION-ARCHIVE-20260708.md,5114,20260708,architecture,mbi s8192 completeness cell,s8192,MEASUREMENT,pdf n=2 1.08x (5861.0 vs 6306.2); matches itax prediction ~1.05x,
results/AGENT-COORDINATION-ARCHIVE-20260708.md,5122,20260708,architecture,mbi s128 asymptote n=6/8,s128,LAW,n=6 2.01x; n=8 2.00x saturates; merged per-mb -> s128 machinery floor 261.8us; host grad-sum 26-27% at high n,asymptotic speedup = solo/floor bounded by sum cost
results/AGENT-COORDINATION-ARCHIVE-20260708.md,5144,20260708,scheduling,small cold_cap post-dW-SK1 resweep,small,FLIP-PROMOTED,cap=0 wins -14.86us (110/120) and -9.55us; cap16 +21.6; cap33 +10.1,flip 48->0; source deferred to model.py owner
results/AGENT-COORDINATION-ARCHIVE-20260708.md,5163,20260707,attention-dq,SW128+TMA attention staging P2 elected-thread TMA,s2048;s3072;s4096;s8192,MEASUREMENT,s2048 -15.1/-3.8; s3072 -5.6/-10.9 both orders; s4096 wash; s8192 +68.3/+76.8,s8192 loss = feed displacement of WG2 dq feed; no P3 close in range
results/AGENT-COORDINATION-ARCHIVE-20260708.md,5174,20260708,scheduling,deep cold_cap post-gates resweep,deep,NEUTRAL,cap16 stands (null vs itself); cap0 +20.2/+18.5 (1-4/120); cap64 +9.9,cap serves chain-latency-bound shapes
results/AGENT-COORDINATION-ARCHIVE-20260708.md,5212,20260707,infra-process,shared dirty gate batch commit + graphstep port,multi,PROMOTED,batch 785d048; graphstep 9b325e8+e5cc832; post-port test_model ALL PASSED,shared tip e5cc832
results/AGENT-COORDINATION-ARCHIVE-20260708.md,5238,20260708,scheduling,s1024+s2048 cold_cap post-gates resweep,s1024;s2048,FLIP-PROMOTED,s1024 stands (cap64); s2048 flip 0->33: cap16 -6.3/-6.2; cap33 -7.1/-7.0 (240-rep confirmed),source implication deferred
results/AGENT-COORDINATION-ARCHIVE-20260708.md,5258,20260708,measurement,LD spill gate at e5cc832,small,MEASUREMENT,small executed-LD 0 sectors (was 2906),new spill-gate baseline 0
