experiments/fused-training-megakernel/NOTES.md,35,v0,measurement,full-model gradient parity + SGD sanity,nano+small,MEASUREMENT,loss <2e-3 rel; every grad within 2.2% max-rel; 40-step SGD 9.05->5.6,it learns
experiments/fused-training-megakernel/NOTES.md,45,v0,measurement,v0 scoreboard vs eager/compile/CUDAGraph,nano+small,MEASUREMENT,nano 2.53ms vs graph 0.83; small 12.0ms vs 2.99,median of 50
experiments/fused-training-megakernel/NOTES.md,50,v0,tma-smem,fp32 wmma smem strides must be multiples of 4,all,PROMOTED,silent corruption otherwise,correctness fix
experiments/fused-training-megakernel/NOTES.md,51,v0,gemm-fwd,vectorized coalesced tile loads for all four GEMM layouts,all,PROMOTED,+2x,
experiments/fused-training-megakernel/NOTES.md,52,v0,executor,instruction lookup scans offsets only,all,PROMOTED,104B struct copy per scan step dominated many-instruction waves,
experiments/fused-training-megakernel/NOTES.md,54,v0,rowop,warp-parallel qk-norm with smem-staged grad atomics,all,PROMOTED,global-atomic contention on tiny [D] grad buffers was 8% of step,
experiments/fused-training-megakernel/NOTES.md,56,v0,gemm-dw,split-K dW GEMMs,all,PROMOTED,16-tile matrices on 264 blocks were 6% occupancy,
experiments/fused-training-megakernel/NOTES.md,57,v0,gemm-fwd,register-prefetch pipelining in GEMM K-loop,all,PROMOTED,single-buffered loads latency-bound ~33us/wave,
experiments/fused-training-megakernel/NOTES.md,62,v1,executor,dataflow (df) executor replaces wave barriers,nano+small,PROMOTED,nano 2.53->1.93-1.99ms; small 12.0->9.8ms,naive ring scanning slower than waves; sticky-instr fast path + consumed head
experiments/fused-training-megakernel/NOTES.md,70,v1,attention-dkv,attention bwd split over GQA members + kv-chunks with fp32 atomic workspaces,nano+small,PROMOTED,dKV worst-instr 190us->47us,plus convert op
experiments/fused-training-megakernel/NOTES.md,71,v1,attention,warp-parallel softmax rows in attention fwd/bwd-recompute,all,PROMOTED,,
experiments/fused-training-megakernel/NOTES.md,72,v1,lm-head,split-K-to-fp32-scratch for K=8192 dlogits@Wlm gemm,small,PROMOTED,145us->~40us,
experiments/fused-training-megakernel/NOTES.md,74,v1,ce,single-pass online CE,all,PROMOTED,,
experiments/fused-training-megakernel/NOTES.md,74,v1,rowop,16K vectorized fill/convert chunks,all,PROMOTED,,
experiments/fused-training-megakernel/NOTES.md,74,v1,attention,per-layer fp32 attention workspaces,all,PROMOTED,shared workspace had chained layers through its zero-fill,
experiments/fused-training-megakernel/NOTES.md,75,v1,gemm-fwd,cp.async BK=64 gemm rewrite with col_major fragments,nano+small,NO-GO,in-model ~10% loss vs 1-deep register-prefetch BK=32,suspect LDSM on col_major ld=72; real answer is Hopper wgmma/TMA
experiments/fused-training-megakernel/NOTES.md,80,v1,measurement,v1 scoreboard,nano+small,MEASUREMENT,nano 1.93-1.99ms small 9.8ms vs graph 0.83/3.0,
experiments/fused-training-megakernel/NOTES.md,85,v1,measurement,launch-bound crossover sweep,S128+S256+deep,MEASUREMENT,S256 1.49 vs 0.72ms; S128 1.20 vs 0.62; deep-L12 4.07 vs 2.08,no crossover; chain floor ~13us/op at S128
experiments/fused-training-megakernel/NOTES.md,92,v2,gemm-fwd,from-scratch wgmma m64n128k16 probe,standalone,SCAFFOLD,~39ns per m64n128k16 = ~94% per-SM tensor peak,GmmaDescriptors over no-swizzle K-major INTER; sm_90a
experiments/fused-training-megakernel/NOTES.md,97,v2,gemm-fwd,data-dependent ScaleOut ternary serializes every wgmma,standalone,LAW,~2.5us each = 60x slow; branch-free ScaleOut::One over zeroed regs fixes,
experiments/fused-training-megakernel/NOTES.md,101,v2,gemm-fwd,NT gemms routed through 128x128 two-warpgroup wgmma tile,nano+small,PROMOTED,gains ~nil nano / ~4% small; kernel to 255 regs -> 1 block/SM,per-instr fixed costs ~20us vs ~140ns of mma
experiments/fused-training-megakernel/NOTES.md,107,v2,scheduling,direct successor handoff in scheduler,nano+small,NO-GO,+14% step time,mechanism unclear
experiments/fused-training-megakernel/NOTES.md,110,v2,measurement,v2 round-1 scoreboard,nano+small,MEASUREMENT,nano 2.00ms small 9.5ms vs graph 0.82/3.0,
experiments/fused-training-megakernel/NOTES.md,116,v2,architecture,CODA epilogue-fusion blueprint survey,none,NOTE,gemm_swiglu paired column halves; ColVecStore LSE/rstd; swiglu-bwd standalone even in CODA,CuTeDSL host dispatch ~50-100us caveat
