results/AGENT-COORDINATION-ARCHIVE-20260707.md,11113,unknown,executor,producer-df pdf executor local GPU drained confirm,qwen4b-l1,MEASUREMENT,df 9088/9115 -> pdf 7973/7982us = -1115.7/-1133.2us; 12/12 both orders,landing-ready; all gates green; parity clean
results/AGENT-COORDINATION-ARCHIVE-20260707.md,11143,2026-07-07,tma-smem,MK_GEMM_D64_TMA broad widen resweep @27c8084,s1024/small/s2048,NO-GO,s1024 +26.40/+13.78us 0/40&2/40; small H512 +92.67/+76.54us 0/40 both; s2048 -15.57/-7.58us 39/40&36/40,do not broadly widen; s2048 narrow candidate
results/AGENT-COORDINATION-ARCHIVE-20260707.md,11187,2026-07-07,tma-smem,s2048 D64 TMA current-head gate @9550a7b,s2048,MEASUREMENT,forced-on -16.34us 80/80; -8.40us 74/80; n_instr=176 unchanged,promotion candidate confirmed on clean head
results/AGENT-COORDINATION-ARCHIVE-20260707.md,11223,2026-07-07,tma-smem,s2048 D64 TMA source promotion a1647ee,s2048,PROMOTED,forced-old +11.70us (3/80 wins); +19.25us (2/80),isolated branch validated; shared landing pending
results/AGENT-COORDINATION-ARCHIVE-20260707.md,11238,2026-07-07,tma-smem,s2048 D64 TMA promotion (second close),s2048,DUPLICATE,forced-old +11.70us/+19.25us; training sanity 9.0496->5.6172,duplicate close of a1647ee validation
results/AGENT-COORDINATION-ARCHIVE-20260707.md,11262,2026-07-07,attention-dkv,dkv LSE/Drow stage prefetch,s8192,PROMOTED,s8192 -55..-64us (3 clean pairs both orders); s4096/small neutral; +1KB smem,landed; closes 0150Z claim
results/AGENT-COORDINATION-ARCHIVE-20260707.md,11278,2026-07-07,qwen,qwen4b-l2 post-head-dX R4 knob resweep retry @5f566dc,qwen4b-l2,NO-GO,COLD_CAP0 +8.40/+37.95us; nmajor-off +94.51/+67.78us; dqRS-on -1.31/+2.46us noise; n256-TMA-off +868.61/+828.56us 0/16,keep all tested defaults; profile 11873.1us
results/AGENT-COORDINATION-ARCHIVE-20260707.md,11295,2026-07-07,qwen,qwen4b-l2 resweep retry (second close),qwen4b-l2,DUPLICATE,same verdicts; route n_instr=78 n256=27 tma=18,duplicate close of retry job
results/AGENT-COORDINATION-ARCHIVE-20260707.md,11307,2026-07-07,tma-smem,s2048 D64 TMA current-head gate (second close),s2048,DUPLICATE,forced-on -16.34us 80/80; -8.40us 74/80,duplicate of 11187 close
results/AGENT-COORDINATION-ARCHIVE-20260707.md,11352,2026-07-07,attention,MK_ATTN_DS_QUAD_STORE dS quad store,s8192/s4096/small,NO-GO,s8192 +924.88/+912.14us 0/24; s4096 +254.53/+240.90us 0/40; small +236.37/+229.57us 0/40,correctness clean; stack growth; keep bf162 stores
