results/AGENT-COORDINATION-ARCHIVE-20260707.md,5512,2026-07-05,measurement,profile refresh post mid-S cap48 retune,small;nano,MEASUREMENT,small ATTN_DKV_WG 365.2us span; nano ATTN_DQ_WG 83.9us span,critical-path leaders guide next lane
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5518,2026-07-05,attention,nano H256/S512 attention chunk retune DKV_C=3/DQ_C=2 (00c5aff),nano;deep,PROMOTED,nano -4.8us median 128/180; deep-L12 -6.3us 84/120; broad 3/2 -7.7us,small/S1024/S2048/S4096 defaults unchanged
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5536,2026-07-05,measurement,post-chunk-retune profile,nano,MEASUREMENT,nano no longer led by ATTN_DQ_WG; new leaders ATTN_FWD_WG; RMSNORM_BWD_DX; GEMMNN 512x256x256.wg; ATTN_DKV_WG,extends claim for RMS_DX_R4 retest
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5542,2026-07-05,rowop,H256/S512 MK_RMS_DX_R4 recheck + head-dX target48,nano;deep,NO-GO,R4 nano +9.2us; deep +9.1us; headdx48 rejected on confirmation,noisy broad signal did not survive
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5550,2026-07-05,gemm-dw,cold dW split-target retune 96/K1024 else 64 (0ee579e),multi,PROMOTED,nano -27.4; S1024 -14.0; S2048 -15.3; S4096 -75.2; small -16.5; S128 -15.6; S256 -27.5,MK_DW_TARGET_TILES still overrides
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5567,2026-07-05,measurement,post-dW profile,nano;small,MEASUREMENT,nano 930.1us; small 3637.7us,small led by ATTN_DKV_WG; GEMMNN 1024x512x3072; SWIGLU_BWD
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5573,2026-07-05,attention,post-dW attention chunk sanity resweep,nano;deep,NEUTRAL,(2;2) noise on nano; negative on deep,no-change
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5578,2026-07-05,scheduling,H256/S1024 cold cap64 (4a1cf3e),s1024,PROMOTED,cap64 vs cap48 -5.4us median 93/140; small cap33 vs 48 only -1.4us,pairwise A/B stronger than moved score baseline
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5594,2026-07-05,measurement,S-sweep profile,s128;s256;s1024,MEASUREMENT,S128/S256 dominated by small WMMA GEMMNN + waits; S1024 led by ATTN_DQ_WG + non-WGMMA NN hops,triggers S1024 WGMMA NN threshold test
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5599,2026-07-05,gemm-dx,S1024 WGMMA NN route threshold 32 for M1024/N256 (692ae50),s1024,PROMOTED,-108.1us paired median 180/180; broad wg32 -102.3us,score S1024 1338.0 vs graph+ 774.8
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5615,2026-07-05,gemm-dx,short-row WGMMA NN threshold 8 for M128/256 (48e9ff3),s128;s256,PROMOTED,S128 -6.4us 113/180; S256 -7.3us 145/180,nano default/16 remained best
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5632,2026-07-05,scheduling,MK_CLAIM quantum resweep (0536d5f notes-only),multi,NEUTRAL,claim132 remains only safe default; S256 claim192 -2.9us isolated,tested 64/96/132/160/192/264
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5644,2026-07-05,measurement,current-head profile at 0536d5f,nano;small,MEASUREMENT,nano 918.2us; small 3644.4us,local GPU taken by sglang after run; moved to local GPU
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5654,2026-07-05,rowop,small RMS dx R2 retune (1ea7e4f) + ws/df2 mode checks,small,PROMOTED,R2-R4 -9.6us 142/180; ws +78.4 nano +227.4 small zero wins; df2 +229.5/+458.0 zero wins,mode checks no-change
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5668,2026-07-05,scheduling,post-RMS no-go sweep batch (cf137d6 notes-only),nano;small,NO-GO,n128/headdx/coldcap/dwtarget/attn-c/drow follow-up sweeps all rejected,mixed-lane batch of no-gos
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5685,2026-07-05,measurement,gauntlet refresh; shared-process S-rows invalid (recompile limit),s256;s1024,MEASUREMENT,fresh S256 924.0 vs 485.4; S1024 1349.2 vs 782.8,use fresh-process rows only; stray local GPU run flagged
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5694,2026-07-05,lm-head,H256/S256 head-dX split target64 (8d8f95b),s256,PROMOTED,-16.5us median 167/180; broad 32/48/64 ~-17us vs t192,S128 target64 weak/no-promote
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5710,2026-07-05,gemm-dx,S128 WGMMA NN route MK_WGMMA_NN_MIN=4 (a21b7a8),s128,PROMOTED,-12.4us median 100/160,128x256 head-dX/Drow hops off WMMA; S256/nano unchanged
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5728,2026-07-05,executor,QA ws-vs-df recheck under leaner ops,small;nano,MEASUREMENT,ws trails: small 3842 vs 3654; nano 1010 vs 929,224-reg tax verdict unchanged; night -35%/-37%
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5735,2026-07-05,lm-head,S128 head-dX split target32 (b919f9f),s128,PROMOTED,isolated -20.0us 157/180; default-vs-old -14.2us 137/180,side probes rejected: WGMMA split-K in gemm_dx regressed; WMMA t64 marginal
