experiments/fused-training-megakernel/IMPROVEMENTS.md,18,v0,scheduling,Instruction lookup scans offsets only,all,PROMOTED,many-instruction waves stopped being scan-dominated,scan indices not payloads
experiments/fused-training-megakernel/IMPROVEMENTS.md,23,v1,executor,Dataflow executor replacing wave barriers,nano/small,PROMOTED,nano 2.53->1.93-1.99ms; small 12.0->9.8ms,84 grid.syncs removed; sticky-instr fast path + atomic cursor
experiments/fused-training-megakernel/IMPROVEMENTS.md,31,v2,scheduling,Scheduler direct successor handoff,all,NO-GO,+14% step,push-at-completer loses to blocks self-claiming
experiments/fused-training-megakernel/IMPROVEMENTS.md,36,P3,executor,Region-watermark tile deps (df2),nano/small,NO-GO,df +300-400us both configs,no queue backlog to eat; parked as mode=df2
experiments/fused-training-megakernel/IMPROVEMENTS.md,49,P3,scheduling,qt-outer attention tile order,small,PROMOTED,small df 9268->9028 (-240us),long-pole tiles emitted where scheduler can overlap tail
experiments/fused-training-megakernel/IMPROVEMENTS.md,55,P4a,executor,Warp-spec scheduler offload (mode=ws),nano/small,NO-GO,final rechecks +78/+227us and +296/+335 0 paired wins,protocol wins at equal regs but 224-reg ceiling tax exceeds win
experiments/fused-training-megakernel/IMPROVEMENTS.md,69,P6,scheduling,Hot/cold criticality ready rings,all,PROMOTED,EMBED_FWD wait 91->0us; step -7/-38us; MK_ALLHOT +34/+65/+29,separate sink from chain work at claim time
experiments/fused-training-megakernel/IMPROVEMENTS.md,78,P6,gemm-dx,Tile-gated split-K fp32 dX routing,nano,PROMOTED,nano -27us; gate <32 MN tiles; +127/+467 under old ring,viable only once cold work stops contending
experiments/fused-training-megakernel/IMPROVEMENTS.md,86,P6,executor,Dispatch-spill kill: Instr staged in smem,all,PROMOTED,nano -125; small -484; ~8% uniform; df STACK 624->336,104B Instr live across dispatch switch spilled everywhere
experiments/fused-training-megakernel/IMPROVEMENTS.md,94,P6,scheduling,Claim quantum 264->132,all,PROMOTED,-27/-237us; every resweep keeps 132,cheap claims favor finer batches (Stream-K tail balance)
experiments/fused-training-megakernel/IMPROVEMENTS.md,103,unknown,scheduling,df completion-hint stickiness,all,PROMOTED,~-20us both configs,completer adopts enabled HOT dependent as sticky claim
experiments/fused-training-megakernel/IMPROVEMENTS.md,109,unknown,scheduling,cold_cap bounded cold blocks,per-shape,PROMOTED,cap16 small ~4110->4042; uncapped S>=2048; cap0 nano/S128; qwen-L1 cap0 22094 vs 29433,optimum tracks op speed and shape; L1/giant-sink wants uncapped
experiments/fused-training-megakernel/IMPROVEMENTS.md,122,unknown,rowop,Rowop claim floor MK_ROWOP_CLAIM 2/4,small,NO-GO,+275/+838us,tail balance beats claim amortization
