results/AGENT-COORDINATION.md,653,2026-07-08,lm-head,n256 PDF split-dispatch MK_PDF_N256_SPLIT_DISPATCH,s8192,NO-GO,SASS stayed singleton hist{1:40} DEPBAR=40; STACK528 vs 24,do not promote; route to call-shape reducer
results/AGENT-COORDINATION.md,658,2026-07-08,lm-head,n256 PDF call-shape reducer,s8192,SASS-PROOF,no-call/empty-noinline/scalar-noinline all group max=4 hist{0:6;4:10} STACK24,arbitrary noinline call not the trigger; full non-n256 dispatch body/frame is
results/AGENT-COORDINATION.md,662,2026-07-08,lm-head,n256 PDF non-n256 dispatch partition,s8192,SASS-PROOF,row/loss mode safe max=4 STACK56; attention and GEMM partitions each collapse max=1,poison is reachable non-n256 WGMMA-family body; not generic call/scalar/local pressure
results/AGENT-COORDINATION.md,668,2026-07-08,lm-head,n256 PDF GEMM subpartition,s8192,SASS-PROOF,non-WGMMA GEMM safe max=4; n64/n128/n256-branch-code each collapse max=1 stacks 72/96/24,GEMM poison = WGMMA-family code presence not stack size
results/AGENT-COORDINATION.md,673,2026-07-08,attention-fwd,H256 FWD attention body reduction,H256,SASS-PROOF,s_only and pv_only group 4/2 max=4; s_pv and handoff ablations singleton 8/8 max=1,minimal FWD trigger = two real D64 WGMMA groups in one body
results/AGENT-COORDINATION.md,680,2026-07-08,attention-fwd,H256 split S-PV FWD source forms,H256,NO-GO,forceinline/noinline wrappers and S-dead-before-PV all stay 8/8 max=1 hist{1:8},do not replay lexical wrappers or lifetime scoping; route to structural split or DKV/DQ
results/AGENT-COORDINATION.md,684,2026-07-08,attention-dkv,H256 DKV body-internal reduction matrix,H256,SASS-PROOF,each DKV wga_mma64_x2 batch alone singleton-drains 8/8 CALL0 max=1,route to DKV-specific context probe
results/AGENT-COORDINATION.md,689,2026-07-08,attention-dkv,H256 DKV standalone context probe,H256,SASS-PROOF,all context forms group 8/2 max=4 except sd_stage_pred 8/8 max=1,first isolated trigger = production skip predicate q0s<kv0wg around WGMMA
results/AGENT-COORDINATION.md,692,2026-07-08,attention-dkv,H256 DKV skip-guard real-image ablation,H256,SASS-PROOF,sd_uncond_dvdk_guarded HGMMA=16 DEPBAR=3 max=8 hist{4:2;8:1} vs control 16/16 max=1,runtime skip branch confirmed as real-image singleton trigger; needs operand/masking contract before timing
results/AGENT-COORDINATION.md,696,2026-07-08,attention-dkv,MK_ATTN_DKV_UNCOND_SD production transplant,H256/S128-route,NO-GO,forced production megakernel_df identical cadence 196/196 CALL103 max=1,call-free ablation does not survive full image; bridge context first
results/AGENT-COORDINATION.md,699,2026-07-08,attention-dkv,H256 call-free DKV unguarded context bridge,H256,SASS-PROOF,DKV-only unguarded 16/3 max=8; +FWD 24/24; +DQ 28/28; all-attn 36/36 all collapse,skip-guard fix real but context-fragile; do not replay production _adkvusd
results/AGENT-COORDINATION.md,703,2026-07-08,scheduling,native microbatches shared promotion window,-,ACTIVE,port b662829 + graph API ebe4aa9 validated; execution gated on tree-clean,promotion window armed; blocked on shared dirty stack
results/AGENT-COORDINATION.md,716,2026-07-08,lm-head,n256 PDF attention subpartition,s8192,SASS-PROOF,classic/combine safe max=4; every WG attention slice (D64/D128 FWD/DKV/DQ) collapses hist{1:40},route to WGMMA-isolated PDF image design
results/AGENT-COORDINATION.md,721,2026-07-08,attention-dkv,H256 DKV neighbor-partition bridge,H256,SASS-PROOF,FWD wgmma-only neighbor collapses 20/20 max=1; DQ wgmma-only stays 24/5 max=8; full DQ collapses 28/28,sharp boundary = FWD single-batch wga_mma64 shape vs grouped x2
results/AGENT-COORDINATION.md,723,2026-07-08,lm-head,n256 PDF WGMMA-isolated image _pwgi1,s8192,SASS-PROOF,grouped restored HGMMA=40 DEPBAR=16 max=4 hist{0:6;4:10} REG168 LOCAL0,SASS-positive but no-promote as-is (non-n256 WGMMA rows omitted not executed)
results/AGENT-COORDINATION.md,724,2026-07-08,attention-dkv,H256 DKV neighbor-partition bridge (repost),H256,DUPLICATE,same closeout note as line 721,double-posted close
results/AGENT-COORDINATION.md,729,2026-07-08,lm-head,n256 PDF replay-kernel code presence _pwrp1,s8192,SASS-PROOF,megakernel_pdf healthy max=4 with replay global in same cubin; replay probe body 180/180 CALL31,poison is callable-path WGMMA code not cubin-wide code presence
results/AGENT-COORDINATION.md,736,2026-07-08,lm-head,n256 PDF real replay-shape _pwrr1,s8192,SASS-PROOF,primary stays grouped max=4 STACK144; replay body HGMMA=180 DEPBAR=180 REG239 LOCAL0,real wave-loop replay global coexists; route to launch/parity wiring
results/AGENT-COORDINATION.md,739,2026-07-08,lm-head,n256 PDF replay-after-run launch semantics,s8192,CLOSED-BY-ANALYSIS,74/77 replay rows have downstream consumers,simple post-run replay causally invalid; needs wave-level or dataflow-integrated ordering
results/AGENT-COORDINATION.md,744,2026-07-08,attention-fwd,H256 FWD issue-shape bridge,H256,SASS-PROOF,single/guarded 20/20; x2 KK/KMN/two-single/guarded-x2 24/24; delayed-wait 20/20 all max=1,FWD poison not issue shape / wait placement / operands / skip guard; stop local tweaks
results/AGENT-COORDINATION.md,748,2026-07-08,attention,H256 FWD+DKV boundary code presence,H256,SASS-PROOF,same-extension full FWD in separate global leaves DKV 16/3 max=8; FWD global itself 8/8 max=1,poison requires same callable/body/scheduling path
results/AGENT-COORDINATION.md,750,2026-07-08,attention-dq,H256 DQ-neighbor reducer,H256,SASS-PROOF,RS-feed dQ WGMMA alone collapses 28/28 max=1; scalar dS after x2 stays 24/4 max=8,DQ collapse trigger = RS-feed dQ WGMMA group; split at RS boundary
results/AGENT-COORDINATION.md,755,2026-07-08,attention-fwd,H256 FWD real replay-shape (S128 gate),H256/S128,SASS-PROOF,DKV stays 16/3 max=8 with replay code present; replay global 8/8 CALL2 max=1,superseded by exact-S4096 close at line 756
results/AGENT-COORDINATION.md,756,2026-07-08,attention-fwd,H256 FWD real replay-shape exact-S4096,H256/S4096,SASS-PROOF,s4096/pdf replay rows/tiles 12/1008; DKV grouped 16/3 max=8; replay global 8/8 max=1,supersedes S128 close; ordering must be wave-level or dataflow-integrated before timing
